Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,eigencentrality
gabriela0512645,gabriela0512645,,0,6,6,0,6,6,12,0.189636,0.224203,0,0,0.004571,0.00002,486,0
joaomr_,joaomr_,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
ju_zezinho,ju_zezinho,,0,3,3,0,3,3,12,0.183324,0.204206,0,0,0.013793,0.00002,35,0
JulianaLauar,JulianaLauar,,0,1,1,0,1,1,1,1,1,0,0,0.000232,0.00002,466,0
relevoar1,relevoar1,,0,2,2,0,2,2,10,0.242574,0.264335,0,0,0.000514,0.00002,24,0
MarliaTramonti1,MarliaTramonti1,,0,9,9,0,9,9,10,0.25597,0.294024,0,0,0.010173,0.00002,24,0
RoggerDenis7,RoggerDenis7,,0,1,1,0,1,1,1,1,1,0,0,0.000133,0.00002,24,0
EzioPantoja,EzioPantoja,,0,7,7,0,8,8,11,0.19045,0.215174,0,0,0.021097,0.00002,445,0
tatiana02900319,tatiana02900319,,0,1,1,0,1,1,1,1,1,0,0,0.000023,0.00002,555,0
duartesrf,duartesrf,,0,7,7,0,9,9,12,0.190133,0.226703,0,0,0.01118,0.00002,35,0
llcunha,llcunha,,0,1,1,0,1,1,1,1,1,0,0,0.000322,0.00002,24,0
Galvao24923227,Galvao24923227,,0,2,2,0,2,2,11,0.221719,0.248124,0,0,0.000278,0.00002,24,0
quueridodiarioo,quueridodiarioo,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,133,0
biaclate,biaclate,,1,0,1,1,0,1,0,0,0,0,0,0,0.000038,133,0.000218
DudaCarneiroS,DudaCarneiroS,,0,6,6,0,6,6,10,0.275641,0.32089,0,0,0.003089,0.00002,24,0
MMVITRIOL,MMVITRIOL,,1,0,1,1,0,1,0,0,0,0,0.000042,0,0.000023,24,0.000218
ailicecf,ailicecf,,0,2,2,0,2,2,12,0.188151,0.214896,0,0,0.003552,0.00002,24,0
O_Auroox,O_Auroox,,0,1,1,0,1,1,9,0.221863,0.241401,0,0,0.00002,0.00002,24,0
tonymacedo1,tonymacedo1,,0,4,4,0,4,4,10,0.243989,0.269325,0,0,0.001201,0.00002,35,0
Esteban58964301,Esteban58964301,,0,1,1,0,1,1,1,1,1,0,0,0.0001,0.00002,84,0
MartinsR77,MartinsR77,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
lellis31230225,lellis31230225,,0,1,1,0,1,1,12,0.182836,0.200075,0,0,0.000643,0.00002,24,0
bielasso,bielasso,,0,1,1,0,1,1,12,0.187945,0.212952,0,0,0.003399,0.00002,486,0
PericoContigo,PericoContigo,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,134,0
fran_cardenete,fran_cardenete,,1,0,1,1,0,1,0,0,0,0,0,0,0.000038,134,0.000218
vasconha_,vasconha_,,0,1,1,0,1,1,12,0.187945,0.212952,0,0,0.003399,0.00002,486,0
marcio_benigno,marcio_benigno,,0,2,2,0,2,2,1,1,1,0,0,0.012341,0.00002,24,0
